Address-City|Address-Country|Address-State|Address-Street Direction|Address-Street Name|Address-Street Number|Address-Unit Number|Address-Zip|Appliance Description|Association Fee|Cooling Description|Directions|Garage Description|Heating Description|List Date|Lot Description|Lot Size-Acres|MLS Board|Listing Agent ID|Listing Agent Name|Listing Office ID|Listing Office Name|Listing Office Phone|Listing Modified Date|MLS Number|Property Type|Amenities|Pool Description|Price|Property Class|Room Count-Total Bedrooms|Room Count-Total Full Baths|Room Count-Total Half Baths|Room Count-Total Rooms|School District|School-Elementary|School-High|School-Middle|Sewer|SQFT|Tax|Tax ID|Tax Year|Year Built|MLS Listing Status|Remarks|Basement Description|Basement YN|Golf Club YN|Horse Facilities YN|Health Club YN|Display Address on Internet YN|Virtual Tour URL|List Agent E-Mail Address|Fireplaces|Relocation Membership ID|RentalType|RentalPrice|CountyName|Subdivision|ExteriorAmenities|Listing CoAgent ID|Listing CoAgent Name
EL GRANADA|USA|CA||239 Sevilla Avenue|||94019|Countertop - Tile,Dishwasher,Exhaust Fan,Garbage Disposal,Oven Range - Gas,Refrigerator||None|||Central Forced Air - Gas|2018-01-19 09:09:09||0.143|MLSLV4|01396370|Jenny Vitro|APR-10|Burlingame||2018-01-30 14:31:13|ML81689535|Single Family|||949000.00|Single Family|4|2|0||Cabrillo Unified|||||1440||||1965|Pending|Don't miss this coastal charmer! Built in 1965, this 4 bedroom, 2 bath home enjoys 1,440 square feet of living space, on a generous 6,250 square foot lot with a detached 2-car carport. Featuring a light-filled living room with gas burning fireplace, an open kitchen/dining area, plus a spacious back deck providing serene views and a large outdoor entertaining space. Upgrades include triple pane windows, tankless water heater, new interior doors, refinished hardwood floors and fresh paint throughout. Ideally located just blocks from the Pillar Point Harbor, coastal trails, and beaches!||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1916137|jvitro@apr.com||12176|||San mateo||||
HALF MOON BAY|USA|CA||341 Coronado Avenue|||94019|Cooktop - Gas,Countertop - Granite,Dishwasher,Exhaust Fan,Garbage Disposal,Island with Sink,Microwave,Oven - Gas,Refrigerator||None|Medio Ave, Left on 5th, Left on Coronado|||2018-01-26 00:00:00||0.152|MLSLV4|01959005|Robin Kirby|APR-11|Half Moon Bay||2018-02-01 01:08:09|ML81689537|Single Family|Built-in Vacuum,High Ceiling ,Vaulted Ceiling ,Walk-in Closet||1499000.00|Single Family|4|2|1||Cabrillo Unified|Alvin S. Hatch Elementary|Half Moon Bay High|Manuel F. Cunha Intermediate||2770||||1996|Active|Enter into the two story living room with fireplace and plenty of windows with views of the ocean. The spacious kitchen includes a large island, ample storage, granite countertops and stainless steel appliances. Relax in the great room with newly refinished hardwood floors and a second fireplace, while surrounded by soaring ceilings and large windows that let in tons of natural light. Convenient ground floor office or den. A half bath and laundry room are also on the first floor. Your upstairs master suite has views of the ocean and Pillar Point Harbor, and boasts a third fireplace and a spacious master bath. The three guest bedrooms are also upstairs and have views of the ocean or mountains. Room to enjoy outdoor entertaining in the spacious backyard, bordered by tall redwoods and featuring decks and a large spa. Located in desirable East Miramar -- within walking distance of Miramar Beach and open space trails.||N|N|N|N|Y|http://www.tourfactory.com/1917995|rkirby@apr.com||12176|||San mateo||||
REDWOOD CITY|USA|CA||271 Jeter Street|||94062|220 Volt Outlet,Countertop - Granite,Dishwasher,Exhaust Fan,Garbage Disposal,Hood Over Range,Hookups - Ice Maker,Oven - Self Cleaning,Oven Range - Built-In, Gas,Refrigerator||None|From Brewster Avenue turn South on Jeter Street||Central Forced Air - Gas,Electric|2018-01-19 12:48:49|Grade - Level,Ground Floor|0.149|MLSLV4|70010064|Cindy Bogard-O'Gorman|APR-04|Los Altos||2018-02-01 01:08:09|ML81689570|Single Family|Security Gate,Video / Audio System,Walk-in Closet||1498000.00|Single Family|2|2|0||Redwood City Elementary|John Gill Elementary|Sequoia High|John F. Kennedy Middle||1350||||1939|Active|Mt. Carmel Charmer has romantic appeal, personality and is located in one of the most sought-after and friendly neighborhoods in RWC. In addition to this beautiful 2BD/2BA main house (approx. 1350sf) there is a 1BD/1BA guest house converted from a garage. The guest house has an additional approx. 282 sf of living space. Cottage style stone and stucco exterior, quaint, yet elegant, formal entry, living and dining rooms flow seamlessly into the bright open kitchen which is recently remodeled including eat-at breakfast bar. The home is newly painted with new hand rubbed Acacia engineered wood flooring throughout. The bathrooms are remodeled as well with appealing accents of both stone and tile. The spacious master suite has a sitting area and walk-in closet. An expansive back deck opens from the master suite and kitchen offering flexible flow for outdoor entertainment. Also includes sound system, storage shed, and solar panels. Close to Stanford Park, CalTrain, and more.||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1919043|cbogardogorman@apr.com||12176|||San mateo||||
MENLO PARK|USA|CA||627 16th Avenue|||94025|220 Volt Outlet,Dishwasher,Garbage Disposal,Hookups - Gas,Oven - Built-In,Oven - Self Cleaning,Pantry,Refrigerator||None|||Forced Air,Gas,Heating - 2+ Zones|2018-01-19 15:17:42||0.123|MLSLV4|01198898|Keri Nicholas|APR-05|Menlo Park||2018-02-01 01:08:09|ML81689600|Single Family|Bay Window,High Ceiling||2598000.00|Single Family|4|3|1||Redwood City Elementary|Garfield Charter|Menlo-Atherton High|||2518||||2014|Active|Built in 2014! Gorgeous Two Story 4 bedroom home on quiet cul-de-sac. Stunning hand hewn flooring, crown molding, bay windows. Expansive flow of living, dining, kitchen and gardens. Quartz countertops & island in the kitchen plus stainless steel French door fridge and 5- burner gas range. Main level bed and bath. Master suite with jetted tub, dual granite vanity, walk-in closet. 65 point energy features, new roof, sul-de-sac. MA High.||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1918699|keri@kerinicholas.com||12176|||San mateo||||
SAN BRUNO|USA|CA||800 Cedar Avenue|||94066|Oven Range - Built-In, Gas||None|||Gas|2018-01-19 16:44:17|Views|0.124|MLSLV4|70016718|Christine Kosturos|APR-10|Burlingame||2018-02-01 01:08:09|ML81689619|Single Family|||1125000.00|Single Family|4|2|0||San Bruno Park Elementary|John Muir Elementary||||1510||||1951|Active|Views, Views, Views! Come and enjoy this spacious 4 bedroom, 2 bath home in the desirable neighborhood of Mills Park. Loved my one family and ready for yours.||N|N|N|N|Y|https://tours.dennismayer.com/940557|ckosturos@apr.com||12176|||San mateo||||
MONTARA|USA|CA||965 Irving Street|||94037|Countertop - Other,Dishwasher,Exhaust Fan,Island,Oven Range - Built-In, Gas,Refrigerator,Skylight||None|||Electric,Forced Air,Gas|2018-01-21 21:06:18|Grade - Gently Sloped,Grade - Sloped Down|0.188|MLSLV4|00648495|Stella Kwak Johnson|APR-11|Half Moon Bay||2018-02-01 01:08:09|ML81689708|Single Family|High Ceiling ,Open Beam Ceiling,Skylight,Vaulted Ceiling ,Other||969000.00|Single Family|4|3|0||Cabrillo Unified|||||2380||||1978|Active|On a private road surrounded by pine trees and horse pastures, this contemporary house is only 25 minutes from downtown SF. Professional kitchen, open floor plan, cathedral ceilings, reclaimed wood floors with french doors opening to decks and layers of yard with private hot tub overlooking Montara Mountain make it perfect for families and entertaining. Bonus loft, Japanese tub, side yard connected to open Caltrans land and large in-law with private entrance and successful rental history (lower level of 800 sq' was completed with permits by the prior owner). 1.2 miles from Montara Beach, off of Sunshine Valley Road. A great deal for buyer willing to give a little TLC.||N|N|N|N|Y||sjohnson@apr.com||12176|||San mateo||||
PORTOLA VALLEY|USA|CA||348 Ramona Road|||94028|Cooktop - Electric,Countertop - Quartz,Island,Microwave,Oven - Double,Refrigerator,Skylight||None|Property is located on a flag lot off Ramona Rd. There are mailboxes for 338,342,348 follow the signs to the top for 348||Central Forced Air|2018-01-22 00:31:33||1.01|MLSLV4|00896337|Pamela Culp|APR-03|Palo Alto||2018-02-01 01:08:09|ML81689716|Single Family|||2995000.00|Single Family|4|2|1||Portola Valley Elementary|Ormondale Elementary||Corte Madera Elementary||2170||||1979|Active|Enjoy this comfortable retreat, located on a flag lot tucked away amid the trees yet perched high enough to enjoy city lights and bay views in the distance. A reverse floor plan allows for the common living space to have breathtaking views. There are 4 bedrooms and 2 baths on the lower level, including a spacious master suite with his and hers closets and a private bath with walk-in shower||N|N|N|N|Y||pculp@apr.com||12176|||San mateo||||
MENLO PARK|USA|CA||1959 Camino a los Cerros|||94025|Microwave,Oven - Self Cleaning,Oven Range - Built-In, Gas,Refrigerator,Skylight,Wine Refrigerator||None|||Other|2018-01-22 09:07:06||0.263|MLSLV4|01499609|Janise Taylor|APR-05|Menlo Park||2018-02-01 01:08:09|ML81689729|Single Family|Bay Window,Garden Window,High Ceiling ,Open Beam Ceiling,Skylight,Vaulted Ceiling ,Video / Audio System,Walk-in Closet ,Wet Bar||3595000.00|Single Family|3|3|0||Las Lomitas Elementary|Las Lomitas Elementary|Menlo-Atherton High|La Entrada Middle||2700||||2012|Active|Absolute stunner in West Menlo bordering Atherton. This gorgeous home was transformed in 2012 and shows like new. Gorgeous vaulted ceilings w/ exposed beams in the kitchen, family room & dining room. Exquisite kitchen w/ expansive Calacatta marble island & counters displaying beautiful veining. Dual Bosch ovens, dual Bosch dishwashers, Subzero refrigerator and a Viking gas stove would please the discerning chef. A state of the art AV system w/ in-ceiling speakers & multiple zones (interior & exterior) throughout the home. Master Bedroom features an oversized walk-in closet w/ custom built-in cabinetry. Spa-like Carrara marble master bath includes a steam shower w/ connected access to outdoor shower, hot tub and sitting area. Huge sun-filled wrap around yard has expansive lawn & three patios for outdoor entertainment. Lovely border plants w/ lively citrus trees. Located in award winning Las Lomitas School District. Walking distance to Las Lomitas (K-3), Sacred Heart Prep and Menlo.||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1915661|jtaylor@apr.com||12176|||San mateo||||
SARATOGA|USA|CA||18929 MONTE VISTA Drive|||95070|Cooktop - Gas,Countertop - Granite,Dishwasher,Exhaust Fan,Garbage Disposal,Island,Island with Sink,Microwave,Oven - Built-In,Oven - Double,Oven - Self Cleaning,Pantry,Refrigerator,Warming Drawer,Wine Refrigerator||None|Quito Rd to Montewood to right on Monte Vista||Central Forced Air - Gas,Fireplace ,Gas,Heating - 2+ Units,Heating - 2+ Zones|2018-01-22 10:16:26||1.06|MLSLV4|00922957|David Welton|APR-01|Saratoga||2018-01-31 11:14:14|ML81689741|Single Family|High Ceiling ,Security Gate,Video / Audio System,Walk-in Closet ,Wet Bar||5499000.00|Single Family|4|4|1||Saratoga Union Elementary|||||4672||||1999|Pending|Exceptional luxury gated estate nestled in one of the most highly sought out neighborhoods in Saratoga. Dramatic architecture with stunning timeless appeal. Spectacular entry foyer. Open floor plan design with soaring ceilings. Spacious gourmet kitchen with large island, custom cabinets, stone counter tops and all the latest amenities. Kitchen opens to large family great room. Beautiful hardwood floors. Landscape/grounds are amazing. Remarkable pool with pebble-tech finish. Dramatic water features, custom stone, lighting and other choice materials create this 5-Star resort experience. Sport court and much more... Saratoga schools! Perfect for the California lifestyle!!||N|N|N|N|Y|http://www.tourfactory.com/1890511|dwelton@apr.com||12176|||Santa clara||||
SARATOGA|USA|CA||15161 ORIOLE Way|||95070|Cooktop - Gas,Countertop - Granite,Dishwasher,Exhaust Fan,Garbage Disposal,Hood Over Range,Island with Sink,Microwave,Oven Range - Gas,Pantry,Refrigerator,Skylight,Trash Compactor,Warming Drawer,Wine Refrigerator||None|||Central Forced Air - Gas,Fireplace ,Heating - 2+ Zones|2018-01-22 10:31:20|Grade - Level|1.06|MLSLV4|00922957|David Welton|APR-01|Saratoga||2018-02-01 01:08:09|ML81689743|Single Family|High Ceiling ,Skylight,Walk-in Closet ,Wet Bar||5988000.00|Single Family|6|6|1||Saratoga Union Elementary||Saratoga High|||6663||||2001|Active|Stunning French Country estate nestled in one of Saratoga's most beautiful and exclusive neighborhoods. Sited on just over 1 acre, beautifully framed with mature oaks, pine, redwood and cedar trees. Custom milled pecan herringbone floors in the entry and formal dining room. Custom pecan floors in other areas of the home. Dramatic high ceilings throughout. Exceptional layered moldings, casings, base boards and wainscoting throughout. Dramatic open floor plan design enhanced my meticulous craftsmanship and detail. Large gourmet kitchen with cherry cabinets, granite counter tops and commercial grade appliances. Six bedrooms and six and 1/2 baths. Gracious master suite with spa inspired bathroom and a huge walk-in closet. Dramatic formal library/office with soaring ceilings, built-in cherry cabinets, layered moldings, wainscoting and fireplace. Large game/bonus room. 1,000+ bottle wine room. Oversized 3-car garage. Saratoga schools and much more...||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1919774|dwelton@apr.com||12176|||Santa clara||||
MONTEREY|USA|CA||20 Sierra Vista Drive|||93940|220 Volt Outlet,Cooktop - Electric,Dishwasher,Garbage Disposal,Island with Sink,Microwave,Oven - Built-In,Oven - Double,Refrigerator||None|||Central Forced Air - Gas|2018-01-22 12:43:00|Grade - Sloped Down|0.257|MLSLV4|01966766|John Romley|APR-09|Carmel||2018-01-29 14:40:51|ML81689767|Single Family|||930000.00|Single Family|4|2|0||Monterey Peninsula Unified|||||2319||||1954|Pending|Enjoy ocean views from this beautiful 4 bedroom and 2 bathroom home located above the Monterey Bay on a private, quiet quarter acre lot. The entry level features hardwood floors and lots of natural light, incorporating bay views in the master bedroom and living room. Off the living room, the kitchen is equipped for hosting with two sinks, two ovens, and an open concept. Downstairs you'll find a large family room, laundry room, two bedrooms, and updated bathroom. The semi-circular driveway and over-sized two car garage with workshop will provide plenty of space for your vehicles, outdoor accessories, and projects. To top it off, you're just minutes away from the Del Monte Shopping Center, Whole Foods, and surrounding beaches. Welcome home to 20 Sierra Vista Drive.||N|N|N|N|Y||jromley@apr.com||12176|||Monterey||||
PEBBLE BEACH|USA|CA||90 Ocean Pines Lane|||93953|Countertop - Synthetic,Garbage Disposal,Microwave,Oven - Electric,Refrigerator|625.00|None|||Electric|2018-01-22 14:34:12||0.016|MLSLV4|01119622|Jamal Noorzoy|APR-09|Carmel||2018-02-01 01:08:09|ML81689788|Single Family|||775000.00|Single Family|3|2|0||Monterey Peninsula Unified|||||1968||||1979|Active|Enjoyable, spacious and renovated corner unit, this large three bedroom residence in Ocean Pines enjoys a little more space than most others with nearly 2,000 square of living space. One level up from the ground, the elevator is convenient, the light pattern is wonderful and the living space is open and welcoming. There are two spacious bedrooms with a sitting room on one side and a private master bedroom on the other. A real laundry room with storage space, ample closets throughout, this rare 3 bedroom offers value in location, condition and size.||N|N|N|N|Y||jnoorzoy@apr.com||12176|||Monterey||||
LOS ALTOS HILLS|USA|CA||24990 La Loma Drive|||94022|Cooktop - Electric,Countertop - Granite,Dishwasher,Exhaust Fan,Freezer,Garbage Disposal,Hood Over Range,Ice Maker,Island,Oven - Built-In,Oven - Double,Oven - Electric,Oven - Self Cleaning,Pantry,Refrigerator||None|||Central Forced Air - Gas,Fireplace|2018-01-22 15:06:39||1.29|MLSLV4|01189798|Kathy Bridgman|APR-04|Los Altos||2018-02-01 01:08:09|ML81689791|Single Family|Built-in Vacuum,High Ceiling ,Open Beam Ceiling,Skylight,Vaulted Ceiling ,Walk-in Closet ,Wet Bar||3495000.00|Single Family|4|2|1||Los Altos Elementary|||||3406||||1956|Active|Beautifully Appointed in a Stunning Setting. 4 bedrooms, office, and 2.5 baths on one level. Remarkable setting with exceptional views. Skylights and walls of windows. Wonderfully updated chefs kitchen and adjoining family room. Chalk-board lined study area plus large office. Attached 2-car garage with EV charging. Creekside setting with vast level areas for play and entertaining. MDA: 9,629 SF and MDA: 5,000 SF(per seller).||N|N|N|N|Y|http://www.24990LaLoma.com|kbridgman@apr.com||12176|||Santa clara||||
LOS ALTOS HILLS|USA|CA||12501 Zappettini Court|||94022|220 Volt Outlet,Built-in BBQ Grill,Cooktop - Gas,Countertop - Marble,Dishwasher,Exhaust Fan,Garbage Disposal,Hood Over Range,Island with Sink,Microwave,Oven Range - Built-In,Oven Range - Electric,Pantry,Refrigerator,Wine Refrigerator||None|||Central Forced Air - Gas,Fireplace|2018-01-22 15:54:48||1.18|MLSLV4|01189798|Kathy Bridgman|APR-04|Los Altos||2018-02-01 01:08:09|ML81689799|Single Family|Bay Window,High Ceiling ,Security Gate,Walk-in Closet ,Wet Bar||9750000.00|Single Family|6|7|1||Los Altos Elementary|||||8625||||2017|Active|New Magnificent GreenPoint-Rated Villa on More than One Acre. Just-completed new villa with GreenPoint rating. Three levels with 6 bedroom suites and 7.5 total baths. Office, recreation room, versatile home theatre, wine cellar, bar, and fitness center plumbed for sauna. Approximately 8,625 square feet of living space and over 10,000 square feet* with covered areas. Attached 3-car garage with EV wiring. Immense front yard with mature pine trees and beautifully manicured grounds. Expansive rear paver stone terrace plus outdoor kitchen. Approximately 1.18 acres with electric gated entrance.||N|N|N|N|Y|http://12501Zappettini.com|kbridgman@apr.com||12176|||Santa clara||||
SAN JOSE|USA|CA||1126 Delmas Avenue|||95125|Dishwasher,Garbage Disposal,Microwave,Oven Range - Gas|300.00|None|||Central Forced Air|2018-01-22 16:09:35||0.032|MLSLV4|01234067|Heidi Herz|APR-02|Los Gatos||2018-02-01 01:08:09|ML81689801|Single Family|High Ceiling ,Walk-in Closet||799000.00|Single Family|3|2|1||San Jose Unified|Willow Glen Elementary|Willow Glen High|Willow Glen Middle||1376||||2003|Active|Welcome to this Fabulous Newer Town home located in picturesque Willow Glen. This home is situated as an end with unit with abundant windows, soaring ceiling and sun-filled rooms. Nestled in a quaint community, yet close proximity to downtown Willow Glen. Elegant, yet warm and welcoming describe this wonderful home! Formal entry flows to this stylish open floor plan. Gourmet kitchen with tile counters, gas range, built-in microwave, pantry and new tile floor. The kitchen is open to the dining area spacious living room. Fabulous spacious master suite has a huge walk in closet and the spa like master bath has a sunken tub, separate stall shower and dual sinks. The muti-purpose bonus room is a potential 3rd bedroom, family room, or an office/den. Other high quality features include brilliant new engineered hardwood floors on the first level, new carpet upstairs, dual pane windows, and recessed lighting. Indoor laundry. Two car attached garage.||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1912083|hherz@apr.com||12176|||Santa clara||||
SARATOGA|USA|CA||0 Wildcat Road|||95070|||None|Go the corner of Piedmont / Peach Hill...|||2018-01-22 18:00:24|Other|2.448|MLSLV4|00780027|George Montanari|APR-02|Los Gatos||2018-02-01 01:08:09|ML81689817|Land|||2100000.00|Land|0|0|0||Saratoga Union Elementary||||||||||Active|Stunning one of a kind beautifully designed European country estate with picturesque bridge access over a seasonal stream.Desirable Villa Montalvo neighborhood offering Saratoga Schools- Had Approved plans by the City of Saratoga for a 7344+/-sf brand new home.4047sf main level,1441sf upper,1956sf lower level. Plans have expired and need to be resubmitted. .One of the last private lots in Montalvo.Over 2 acres in the most prestigious area just a short distance to both the village and the town of Los Gatos.||N|N|N|N|Y||George@apr.com||12176|||Santa clara||||
LOS GATOS|USA|CA||10 Drysdale Drive|||95032|||None|Property in process of address change to 10 Drysdale. DO NOT GO UP QUAIL HILL, PLEASE GO TO THE CORNER OF DRYSDALE AND SHADY.||Central Forced Air|2018-01-22 18:36:05||0.938|MLSLV4|00780027|George Montanari|APR-02|Los Gatos||2018-02-01 01:08:09|ML81689820|Single Family|||1895000.00|Single Family|5|4|0||Los Gatos Union Elementary||Los Gatos High|Raymond J. Fisher Middle||5000||||1957|Active|Unique Opportunity! Build your dream estate home with a resort style outdoor living area on just under one acre lot in a Sought after Los Gatos neighborhood. Value in land only. Spectacular views of the valley, city lights, mountain views. Blocks to downtown and Los Gatos schools and easy access to Hwy 17 and 85. Renderings are only conceptual by Tom Sloan of metro architects. You can build ANY STYLE HOME you want within the town guidelines. Property should support a 5000 sq. plus home. There are two existing structures, be careful unsafe. The new building pad is below the guest house. Property in process of address change to 10 Drysdale. Current address is 15925 Quail Hill DO NOT GO UP QUAIL HILL, PLEASE GO TO THE CORNER OF DRYSDALE AND SHADY Design possibilities by Tom Sloan Architect||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1842845|George@apr.com||12176|||Santa clara||||
SARATOGA|USA|CA||20089 Pierce Road|||95070|220 Volt Outlet,Countertop - Quartz,Garbage Disposal||None|||Central Forced Air|2018-01-23 07:07:42||0.344|MLSLV4|01120838|Cindi Kodweis|APR-04|Los Altos||2018-02-01 01:08:09|ML81689844|Single Family|||2495000.00|Single Family|3|2|0||Saratoga Union Elementary||Saratoga High|Redwood Middle||1922||||1958|Active|Spectacular opportunity for all in the highly desired area of the Golden Triangle. Tucked away on a quiet court this spacious three bedroom home with large bonus room offers several options!!! Remodel, move right in or build your dream home on this large 15,000 lot! Award winning Saratoga Schools and minutes from Saratoga town.||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1913297|ckodweis@apr.com||12176|||Santa clara||||
LOS GATOS|USA|CA||18341 Laurel Drive|||95030|Cooktop - Electric,Countertop - Tile,Dishwasher,Oven - Built-In||None|||Central Forced Air|2018-01-23 11:23:45||1.002|MLSLV4|70000541|Bower & Cole Group: Bob, Berta, Kevin & Jeff|APR-01|Saratoga||2018-02-01 01:08:09|ML81689876|Single Family|Vaulted Ceiling ,Walk-in Closet||2528000.00|Single Family|4|3|0||Saratoga Union Elementary||Saratoga High|Redwood Middle||2700||||1973|Active|New listing! 4 bed/3 bath, 2,700+/- SF home on a large 1-acre+/- lot. Separate family, dining, utility, & living rooms. Vaulted-ceiling Living room w/redwood beams. Master suite w/large walk-in closet. Master bath has double-sink-vanity, separate tub & shower. Dual-central-heating zones. New carpet throughout, new interior paint almost throughout. Potential secondary access from Daves Ave. 3-car garage. Large backyard w/ Mature oak, palm & redwood trees. Trust sale - have your agent follow/see offer instructions. Schools: Saratoga Elementary schools, Redwood Middle, Saratoga High.||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1921772|bowercolegroup@apr.com||12176|||Santa clara||||
SARATOGA|USA|CA||20761 Pamela Way|||95070|Dishwasher,Island,Refrigerator||None|||Forced Air|2018-01-23 11:40:32||0.233|MLSLV4|01135431|Tiger & Cindy Teerlink|APR-01|Saratoga||2018-02-01 01:08:09|ML81689882|Single Family|Vaulted Ceiling||2688000.00|Single Family|4|3|1||Saratoga Union Elementary||Saratoga High|Redwood Middle||2838||||1999|Active|Rare 4 Bedroom, 3.5 Bathroom home only one block from the Historic Saratoga Village on the quiet side of town. Walk to School, shopping, and fine dining! You will love the convenience of it all! Professionally landscaped lot with stone walls, paver driveway and walkways, vegetable garden area, Spa, outdoor kitchen and more. Inside you will enjoy a light and bright kitchen with Italian Quartzite countertops, high end stainless steel appliances and hardwood floors, and glass sliding doors leading to the spacious patios and gardens. Upstairs patio/deck is perfect for entertaining or personal reflection. OPEN HOUSE SAT. AND SUN. JANUARY 27TH AND 28TH. Do not wait! This will not last!||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1919834|teerlink@apr.com||12176|||Santa clara||||
LOS GATOS|USA|CA||10 Drysdale Drive|||95032|||None|Property in process of address change to 10 Drysdale. DO NOT GO UP QUAIL HILL, PLEASE GO TO THE CORNER OF DRYSDALE AND SHAD|||2018-01-23 15:02:47|Grade - Rolling,Views|0.938|MLSLV4|00780027|George Montanari|APR-02|Los Gatos||2018-02-01 01:08:09|ML81689916|Land|||1895000.00|Land|0|0|0||Los Gatos Union Elementary||Los Gatos High|Raymond J. Fisher Middle|||||||Active|Unique Opportunity! Build your dream estate home with a resort style outdoor living area on just under one acre lot in a Sought after Los Gatos neighborhood. Value in land only. Spectacular views of the valley, city lights, mountain views. Blocks to downtown and Los Gatos schools and easy access to Hwy 17 and 85. Renderings are only conceptual by Tom Sloan of metro architects. You can build ANY STYLE HOME you want within the town guidelines. Property should support a 5000 sq. plus home. There are two existing structures, be careful unsafe. The new building pad is below the guest house. Property in process of address change to 10 Drysdale. Current address is 15925 Quail Hill DO NOT GO UP QUAIL HILL, PLEASE GO TO THE CORNER OF DRYSDALE AND SHADY Design possibilities by Tom Sloan Architect||N|N|N|N|Y|http://www.tourfactory.com/1842845|George@apr.com||12176|||Santa clara||||
PALO ALTO|USA|CA||144 Lowell Avenue|||94301|Cooktop - Gas,Countertop - Granite,Dishwasher,Exhaust Fan,Hookups - Gas,Oven - Built-In,Oven - Electric,Wine Refrigerator||None|||Central Forced Air - Gas|2018-01-23 21:13:08||0.115|MLSLV4|01256035|Derk Brill|APR-03|Palo Alto||2018-02-01 01:08:09|ML81689969|Single Family|High Ceiling ,Skylight,Vaulted Ceiling ,Walk-in Closet||2498000.00|Single Family|3|2|0||Palo Alto Unified|Walter Hays Elementary|Palo Alto High|David Starr Jordan Middle||1723||||1946|Active|Affordable Elegance in Old Palo Alto! Set back from the street with a private and secure location in the most desirable neighborhood in the city, this 3 bedroom/2 bath home has everything you could wish for. Enter through the formal living room anchored by a wood-burning fireplace and warm hardwood floors. French doors lead to the flagstone front porch, ideal for lounging under the awning. The kitchen features a granite-topped peninsula and opens to the great room bathed in natural light, with vaulted ceilings, large skylights, and a second fireplace. The spacious master suite offers a large walk-in closet, tiled bath with frameless shower, and soaring ceilings. Two generous guest bedrooms share a hall bath. The rear yard is accessed by sliding doors off the great room and master suite, which open to a large deck perfect for al fresco dining and entertaining. Also featuring a detached garage and electric car charger.||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1914078|dbrill@apr.com||12176|||Santa clara||||
SAN JOSE|USA|CA||1206 Sierra Village Way|||95132|220 Volt Outlet,Cooktop - Gas,Countertop - Granite,Dishwasher,Exhaust Fan,Garbage Disposal,Microwave|308.00|None|||Central Forced Air|2018-01-24 11:38:41||0.039|MLSLV4|00683438|Louise Alkire|APR-02|Los Gatos||2018-02-01 01:08:09|ML81690018|Single Family|Walk-in Closet||838000.00|Single Family|2|2|1||Berryessa Union Elementary|Ruskin Elementary|Piedmont Hills High|Sierramont Middle||1430||||1981|Active|Stunning Townhome! Quality upgrades! Kitchen features a 5-burner gas range, granite counters, built-in microwave & marble floor. Brand new Master Bath with Granite Counters, Custom Cherry Cabinets, Porcelain Shower w/Brushed Nickel Trim, Porcelain Floors, Double Sinks w/Brushed Nickel Faucets * Master Bedroom Walk-In Closet * Guest Bedroom Boasts a Secret Storage Area at Back of Closet * Maple Cabinets & New Shower Door in Guest Bath * Spacious Cabinets & Marble Flooring in Laundry Room * New Cherry Cabinets, Beveled Mirror, Marble Floor & Obscured Glass Door in Powder Room * Recessed Lighting * Vaulted Ceiling in Living Room and Bedrooms, Skylight * Dual-Pane Windows * All New Light Fixtures * New Carpet * New Paint * Crown Molding * 1-Year-Old Hot Water Heater * Newer Furnace * Copper Plumbing * 2-Car Attached Garage * 372+/- Sq Ft Patio * End Unit * Lemon Tree * Community Pool, Spa & Clubhouse||N|N|N|N|Y|http://tours.tourfactory.com/tours/tour.asp?r=MLSListings.com&t=1920293|lalkire@apr.com||12176|||Santa clara||||
